MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,30.811311
,2023-01-01,32290,MER NOVA ERA NESP,Consumidor Livre,SUDESTE,12.624,4.208546
,2023-01-02,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,50.899426
,2023-01-02,32290,MER NOVA ERA NESP,Consumidor Livre,SUDESTE,12.624,9.025027
,2023-01-03,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,49.375391
,2023-01-03,32290,MER NOVA ERA NESP,Consumidor Livre,SUDESTE,12.624,9.11397
,2023-01-04,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,54.449183
,2023-01-04,32290,MER NOVA ERA NESP,Consumidor Livre,SUDESTE,12.624,9.371825
,2023-01-05,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,52.235512
,2023-01-05,32290,MER NOVA ERA NESP,Consumidor Livre,SUDESTE,12.624,9.318095
,2023-01-06,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,51.688041
,2023-01-06,32290,MER NOVA ERA NESP,Consumidor Livre,SUDESTE,12.624,9.268748
,2023-01-07,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,52.590969
,2023-01-07,32290,MER NOVA ERA NESP,Consumidor Livre,SUDESTE,12.624,9.034412
,2023-01-08,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,48.775267
,2023-01-08,32290,MER NOVA ERA NESP,Consumidor Livre,SUDESTE,12.624,8.057803
,2023-01-09,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,50.960365
,2023-01-09,32290,MER NOVA ERA NESP,Consumidor Livre,SUDESTE,12.624,8.558482
,2023-01-10,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,53.105341
,2023-01-10,32290,MER NOVA ERA NESP,Consumidor Livre,SUDESTE,12.624,9.09813
,2023-01-11,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,57.476419
,2023-01-11,32290,MER NOVA ERA NESP,Consumidor Livre,SUDESTE,12.624,9.03925
,2023-01-12,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,54.25925
,2023-01-12,32290,MER NOVA ERA NESP,Consumidor Livre,SUDESTE,12.624,8.762555
,2023-01-13,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,52.002683
,2023-01-13,32290,MER NOVA ERA NESP,Consumidor Livre,SUDESTE,12.624,7.926282
,2023-01-14,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,51.351035
,2023-01-14,32290,MER NOVA ERA NESP,Consumidor Livre,SUDESTE,12.624,7.830743
,2023-01-15,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,49.735466
,2023-01-15,32290,MER NOVA ERA NESP,Consumidor Livre,SUDESTE,12.624,7.509047
,2023-01-16,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,51.789882
,2023-01-16,32290,MER NOVA ERA NESP,Consumidor Livre,SUDESTE,12.624,7.96035
,2023-01-17,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,51.218279
,2023-01-17,32290,MER NOVA ERA NESP,Consumidor Livre,SUDESTE,12.624,8.441296
,2023-01-18,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,53.06138
,2023-01-18,32290,MER NOVA ERA NESP,Consumidor Livre,SUDESTE,12.624,8.280777
,2023-01-19,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,50.990851
,2023-01-19,32290,MER NOVA ERA NESP,Consumidor Livre,SUDESTE,12.624,8.162929
,2023-01-20,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,48.663171
,2023-01-20,32290,MER NOVA ERA NESP,Consumidor Livre,SUDESTE,12.624,7.919537
,2023-01-21,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,51.031315
,2023-01-21,32290,MER NOVA ERA NESP,Consumidor Livre,SUDESTE,12.624,8.435159
,2023-01-22,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,44.077503
,2023-01-22,32290,MER NOVA ERA NESP,Consumidor Livre,SUDESTE,12.624,7.369493
,2023-01-23,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,50.665954
,2023-01-23,32290,MER NOVA ERA NESP,Consumidor Livre,SUDESTE,12.624,7.906463
,2023-01-24,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,52.102256
,2023-01-24,32290,MER NOVA ERA NESP,Consumidor Livre,SUDESTE,12.624,8.393354
,2023-01-25,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,49.718165
,2023-01-25,32290,MER NOVA ERA NESP,Consumidor Livre,SUDESTE,12.624,7.984121
,2023-01-26,32290,MER NOVA ERA NESP,Consumidor Livre,NORTE,90.24,51.161552
