MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-08-01,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,4.907058
,2023-08-02,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,4.866245
,2023-08-03,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,4.69788
,2023-08-04,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,5.005051
,2023-08-05,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,4.213354
,2023-08-06,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,3.860718
,2023-08-07,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,4.954746
,2023-08-08,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,6.157307
,2023-08-09,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,5.466523
,2023-08-10,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,5.189963
,2023-08-11,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,5.381404
,2023-08-12,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,5.592508
,2023-08-13,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,4.5154440000000005
,2023-08-14,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,5.330444
,2023-08-15,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,5.143036
,2023-08-16,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,4.8172
,2023-08-17,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,4.431887
,2023-08-18,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,5.642557
,2023-08-19,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,5.636328
,2023-08-20,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,3.958077
,2023-08-21,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,4.45003
,2023-08-22,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,4.55479
,2023-08-23,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,4.553117
,2023-08-24,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,5.265127
,2023-08-25,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,5.494792
,2023-08-26,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,5.983385
,2023-08-27,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,5.38684
,2023-08-28,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,6.01377
,2023-08-29,110763.0,AGROARACA INCUBATORIO,Consumidor Especial,SUL,9.0,6.007565
