MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-01-01,48289.0,MRPLAST CL 514,Consumidor Livre,SUL,12.0,0.106472
,2023-01-02,48289.0,MRPLAST CL 514,Consumidor Livre,SUL,12.0,3.385036
,2023-01-03,48289.0,MRPLAST CL 514,Consumidor Livre,SUL,12.0,3.517584
,2023-01-04,48289.0,MRPLAST CL 514,Consumidor Livre,SUL,12.0,4.890144
,2023-01-05,48289.0,MRPLAST CL 514,Consumidor Livre,SUL,12.0,4.481064
,2023-01-06,48289.0,MRPLAST CL 514,Consumidor Livre,SUL,12.0,4.533339
,2023-01-07,48289.0,MRPLAST CL 514,Consumidor Livre,SUL,12.0,1.874045
,2023-01-08,48289.0,MRPLAST CL 514,Consumidor Livre,SUL,12.0,0.205453
,2023-01-09,48289.0,MRPLAST CL 514,Consumidor Livre,SUL,12.0,3.947228
,2023-01-10,48289.0,MRPLAST CL 514,Consumidor Livre,SUL,12.0,4.858418
,2023-01-11,48289.0,MRPLAST CL 514,Consumidor Livre,SUL,12.0,4.541647
,2023-01-12,48289.0,MRPLAST CL 514,Consumidor Livre,SUL,12.0,4.305499
,2023-01-13,48289.0,MRPLAST CL 514,Consumidor Livre,SUL,12.0,3.903482
,2023-01-14,48289.0,MRPLAST CL 514,Consumidor Livre,SUL,12.0,1.101395
,2023-01-15,48289.0,MRPLAST CL 514,Consumidor Livre,SUL,12.0,0.35267
,2023-01-16,48289.0,MRPLAST CL 514,Consumidor Livre,SUL,12.0,3.812414
,2023-01-17,48289.0,MRPLAST CL 514,Consumidor Livre,SUL,12.0,4.383306
,2023-01-18,48289.0,MRPLAST CL 514,Consumidor Livre,SUL,12.0,4.296979
,2023-01-19,48289.0,MRPLAST CL 514,Consumidor Livre,SUL,12.0,4.284942
,2023-01-20,48289.0,MRPLAST CL 514,Consumidor Livre,SUL,12.0,4.710646
,2023-01-21,48289.0,MRPLAST CL 514,Consumidor Livre,SUL,12.0,2.226486
,2023-01-22,48289.0,MRPLAST CL 514,Consumidor Livre,SUL,12.0,0.329084
,2023-01-23,48289.0,MRPLAST CL 514,Consumidor Livre,SUL,12.0,4.234139
