MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2023-10-01,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,8.568604
,2023-10-02,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,8.681238
,2023-10-03,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,8.878754
,2023-10-04,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,8.990687
,2023-10-05,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,9.280121
,2023-10-06,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,10.345563
,2023-10-07,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,9.79194
,2023-10-08,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,9.445415
,2023-10-09,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,9.53866
,2023-10-10,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,9.645644
,2023-10-11,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,9.651147
,2023-10-12,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,9.874076
,2023-10-13,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,10.197432
,2023-10-14,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,10.12617
,2023-10-15,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,9.429637
,2023-10-16,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,8.554245
,2023-10-17,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,8.198226
,2023-10-18,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,8.030104
,2023-10-19,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,8.479257
,2023-10-20,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,8.587
,2023-10-21,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,8.870645
,2023-10-22,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,9.057956
,2023-10-23,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,8.854903
,2023-10-24,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,8.617875
,2023-10-25,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,8.870813
,2023-10-26,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,8.731993
,2023-10-27,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,9.911961
,2023-10-28,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,9.775072
,2023-10-29,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,9.105214
,2023-10-30,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,8.99944
,2023-10-31,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,8.451993
,2023-11-01,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,8.594843
,2023-11-02,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,9.367547
,2023-11-03,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,9.942508
,2023-11-04,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,10.09133
,2023-11-05,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,9.742847
,2023-11-06,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,9.634387
,2023-11-07,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,9.775955
,2023-11-08,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,9.25335
,2023-11-09,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,9.515074
,2023-11-10,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,9.495369
,2023-11-11,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,9.226561
,2023-11-12,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,8.664455
,2023-11-13,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,8.587476
,2023-11-14,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,9.180567
,2023-11-15,103249.0,GBA ADM,Consumidor Especial,NORDESTE,13.344,8.696279
