MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
202508.0,2025-08-01,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,11.567786
202508.0,2025-08-01,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,11.567786
,2025-08-01,,ATLANTICA ALTOS PIAUI,,,36.0,11.567786
202508.0,2025-08-02,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,5.366043
202508.0,2025-08-02,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,5.366043
,2025-08-02,,ATLANTICA ALTOS PIAUI,,,36.0,5.366043
202508.0,2025-08-03,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,0.878607
202508.0,2025-08-03,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,0.878607
,2025-08-03,,ATLANTICA ALTOS PIAUI,,,36.0,0.878607
202508.0,2025-08-04,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,9.408497
202508.0,2025-08-04,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,9.408497
,2025-08-04,,ATLANTICA ALTOS PIAUI,,,36.0,9.408497
202508.0,2025-08-05,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,10.80456
202508.0,2025-08-05,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,10.80456
,2025-08-05,,ATLANTICA ALTOS PIAUI,,,36.0,10.80456
202508.0,2025-08-06,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,9.573587
202508.0,2025-08-06,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,9.573587
,2025-08-06,,ATLANTICA ALTOS PIAUI,,,36.0,9.573587
202508.0,2025-08-07,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,10.04049
202508.0,2025-08-07,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,10.04049
,2025-08-07,,ATLANTICA ALTOS PIAUI,,,36.0,10.04049
202508.0,2025-08-08,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,8.428753
202508.0,2025-08-08,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,8.428753
,2025-08-08,,ATLANTICA ALTOS PIAUI,,,36.0,8.428753
202508.0,2025-08-09,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,9.092245
202508.0,2025-08-09,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,9.092245
,2025-08-09,,ATLANTICA ALTOS PIAUI,,,36.0,9.092245
202508.0,2025-08-10,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,1.135631
202508.0,2025-08-10,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,1.135631
,2025-08-10,,ATLANTICA ALTOS PIAUI,,,36.0,1.135631
202508.0,2025-08-11,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,9.595944
202508.0,2025-08-11,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,9.595944
,2025-08-11,,ATLANTICA ALTOS PIAUI,,,36.0,9.595944
202508.0,2025-08-12,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,7.192577
202508.0,2025-08-12,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,7.192577
,2025-08-12,,ATLANTICA ALTOS PIAUI,,,36.0,7.192577
202508.0,2025-08-13,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,10.192301
202508.0,2025-08-13,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,10.192301
,2025-08-13,,ATLANTICA ALTOS PIAUI,,,36.0,10.192301
202508.0,2025-08-14,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,7.039622
202508.0,2025-08-14,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,7.039622
,2025-08-14,,ATLANTICA ALTOS PIAUI,,,36.0,7.039622
202508.0,2025-08-15,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,11.527195
202508.0,2025-08-15,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,11.527195
,2025-08-15,,ATLANTICA ALTOS PIAUI,,,36.0,11.527195
202508.0,2025-08-16,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,6.769086
202508.0,2025-08-16,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,6.769086
,2025-08-16,,ATLANTICA ALTOS PIAUI,,,36.0,6.769086
202508.0,2025-08-17,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,3.977101
202508.0,2025-08-17,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,3.977101
,2025-08-17,,ATLANTICA ALTOS PIAUI,,,36.0,3.977101
202508.0,2025-08-18,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,9.079172
202508.0,2025-08-18,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,9.079172
,2025-08-18,,ATLANTICA ALTOS PIAUI,,,36.0,9.079172
202508.0,2025-08-19,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,8.3917
202508.0,2025-08-19,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,8.3917
,2025-08-19,,ATLANTICA ALTOS PIAUI,,,36.0,8.3917
202508.0,2025-08-20,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,6.625895
202508.0,2025-08-20,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,6.625895
,2025-08-20,,ATLANTICA ALTOS PIAUI,,,36.0,6.625895
202508.0,2025-08-21,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,7.820269
202508.0,2025-08-21,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,7.820269
,2025-08-21,,ATLANTICA ALTOS PIAUI,,,36.0,7.820269
202508.0,2025-08-22,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,8.392503
202508.0,2025-08-22,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,8.392503
,2025-08-22,,ATLANTICA ALTOS PIAUI,,,36.0,8.392503
202508.0,2025-08-23,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,5.883359
202508.0,2025-08-23,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,5.883359
,2025-08-23,,ATLANTICA ALTOS PIAUI,,,36.0,5.883359
202508.0,2025-08-24,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,0.805746
202508.0,2025-08-24,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,0.805746
,2025-08-24,,ATLANTICA ALTOS PIAUI,,,36.0,0.805746
202508.0,2025-08-25,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,8.570518999999999
202508.0,2025-08-25,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,8.570518999999999
,2025-08-25,,ATLANTICA ALTOS PIAUI,,,36.0,8.570518999999999
202508.0,2025-08-26,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,9.155354
202508.0,2025-08-26,180187.0,ATLANTICA ALTOS PIAUI,Consumidor Livre,NORDESTE,36.0,9.155354
