MES_REFERENCIA,DATA,CODIGO_PERFIL_AGENTE,SIGLA_PERFIL_AGENTE,CLASSE_PERFIL_AGENTE,SUBMERCADO,CAPACIDADE_CARGA,CONSUMO_CARGA_ACL
,2022-01-01,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,30.320148
,2022-01-02,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,37.642733
,2022-01-03,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,44.217273
,2022-01-04,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,46.948922
,2022-01-05,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,45.360382
,2022-01-06,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,41.802414
,2022-01-07,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,40.461588
,2022-01-08,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,43.637135
,2022-01-09,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,39.907309
,2022-01-10,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,40.122018
,2022-01-11,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,42.586408
,2022-01-12,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,41.939256
,2022-01-13,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,45.732385
,2022-01-14,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,46.172595
,2022-01-15,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,48.272519
,2022-01-16,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,45.293109
,2022-01-17,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,44.696285
,2022-01-18,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,44.440565
,2022-01-19,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,45.179312
,2022-01-20,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,47.01743
,2022-01-21,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,49.103678
,2022-01-22,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,49.675554
,2022-01-23,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,45.003946
,2022-01-24,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,46.45585
,2022-01-25,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,49.955869
,2022-01-26,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,47.640236
,2022-01-27,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,45.302614
,2022-01-28,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,43.212666
,2022-01-29,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,43.72325
,2022-01-30,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,40.415746
,2022-01-31,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,42.427036
,2022-02-01,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,43.244952
,2022-02-02,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,40.458577
,2022-02-03,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,44.75111
,2022-02-04,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,45.649827
,2022-02-05,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,46.227387
,2022-02-06,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,40.80029
,2022-02-07,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,39.60776
,2022-02-08,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,40.353149
,2022-02-09,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,40.811414
,2022-02-10,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,42.297559
,2022-02-11,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,43.073867
,2022-02-12,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,43.373235
,2022-02-13,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,40.358671
,2022-02-14,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,39.878509
,2022-02-15,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,40.429206
,2022-02-16,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,41.755859
,2022-02-17,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,42.910264
,2022-02-18,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,43.92277
,2022-02-19,12514.0,ZAFFARI CL,Consumidor Livre,SUL,69.6,43.602345
